Pitcher,PitcherID,Batter,BatterID,hitside,game_id,ab_id,pitch_id,des,result,pitch_type,called,start_speed,end_speed,sz_top,sz_bot,xmove,zmove,break_length,xend,zend,yend,xstart,ystart,zstart,xvel,yvel,zvel,xacc,yacc,zacc
string,numeric,string,numeric,string,numeric,numeric,numeric,string,string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
Felix Hernandez,433587,Howie Kendrick,435062,R,18944,1441866,5459967,Foul Tip,Howie Kendrick strikes out swinging.  ,SI,S,89.4,82.2,3.27,1.49,-8.02,2.58,7.5,-0.586,0.969,0,-1.813,50,5.904,5.828,-130.718,-7.308,-13.749,29.798,-27.676
Felix Hernandez,433587,Howie Kendrick,435062,R,18944,1441866,5459968,Foul,Howie Kendrick strikes out swinging.  ,FF,S,91.5,83.8,3.27,1.49,-2.94,8.24,4.2,-0.658,3.362,0,-1.755,50,6.064,3.903,-134.031,-3.877,-5.31,30.56,-17.196
Felix Hernandez,433587,Howie Kendrick,435062,R,18944,1441866,5459969,Swinging Strike,Howie Kendrick strikes out swinging.  ,FF,S,90.1,83.4,3.27,1.49,-5.84,3.27,6.8,0.245,0.886,0,-1.815,50,5.924,7.325,-131.655,-8.02,-10.244,28.012,-26.37
Felix Hernandez,433587,Howie Kendrick,435062,R,18944,1441886,5460054,Called Strike,"Howie Kendrick grounds out, shortstop Brad Miller to first baseman Justin Smoak.  ",SI,S,93.1,85.5,3.27,1.49,-8,8.37,4.9,-0.703,2.331,0,-1.961,50,5.977,6.17,-136.256,-6.734,-14.981,31.007,-16.426
Felix Hernandez,433587,Howie Kendrick,435062,R,18944,1441886,5460055,"In play, out(s)","Howie Kendrick grounds out, shortstop Brad Miller to first baseman Justin Smoak.  ",CU,X,82.6,75.3,3.27,1.49,4.7,-7.51,12.4,0.056,1.398,0,-2.12,50,6.049,3.706,-121.076,-1.901,6.775,29.805,-42.933
Felix Hernandez,433587,Erick Aybar,430947,L,18944,1441898,5460102,Called Strike,Erick Aybar reaches on a fielding error by third baseman Kyle Seager.  ,SI,S,92.5,83.6,3.06,1.53,-9.53,9.13,5.1,-0.059,2.687,0,-1.947,50,5.94,8.272,-135.248,-5.688,-17.321,34.777,-15.508
Felix Hernandez,433587,Erick Aybar,430947,L,18944,1441898,5460104,Called Strike,Erick Aybar reaches on a fielding error by third baseman Kyle Seager.  ,SI,S,89.1,81.7,3.06,1.53,-6.68,2.19,7.3,-0.582,3.028,0,-1.934,50,6.006,5.698,-130.52,-2.132,-11.429,29.378,-28.345
Felix Hernandez,433587,Erick Aybar,430947,L,18944,1441898,5460106,Foul,Erick Aybar reaches on a fielding error by third baseman Kyle Seager.  ,SI,S,90.1,83,3.06,1.53,-6.04,1.73,7.3,-0.706,1.859,0,-1.915,50,5.909,5.182,-131.968,-4.942,-10.605,29.345,-29.061
Felix Hernandez,433587,Erick Aybar,430947,L,18944,1441898,5460101,Ball,Erick Aybar reaches on a fielding error by third baseman Kyle Seager.  ,SI,B,93,84.6,3.06,1.53,-8.42,9.41,4.8,-0.34,1.433,0,-2.136,50,5.845,7.693,-135.841,-8.99,-15.494,33.844,-14.769
Felix Hernandez,433587,Erick Aybar,430947,L,18944,1441898,5460103,Ball,Erick Aybar reaches on a fielding error by third baseman Kyle Seager.  ,CU,B,80.9,73.7,3.06,1.53,7.38,-8.79,13.7,1.981,0.994,0,-1.744,50,6.138,6.385,-118.409,-2.27,10.117,29.894,-44.144
Felix Hernandez,433587,Erick Aybar,430947,L,18944,1441898,5460105,Ball,Erick Aybar reaches on a fielding error by third baseman Kyle Seager.  ,FF,B,93.1,84.1,3.06,1.53,-4.01,8.23,4.1,-0.704,4.233,0,-2.201,50,6.062,5.384,-136.378,-1.715,-7.41,35.566,-16.912
Felix Hernandez,433587,Erick Aybar,430947,L,18944,1441898,5460107,"In play, no out",Erick Aybar reaches on a fielding error by third baseman Kyle Seager.  ,FF,X,93.1,85.8,3.06,1.53,-1.14,6.3,4.6,-0.772,2.914,0,-2.13,50,5.899,4.053,-136.357,-4.275,-2.139,29.898,-20.243
Felix Hernandez,433587,Josh Hamilton,285078,L,18944,1441902,5460120,Swinging Strike,Josh Hamilton walks.  ,SI,S,90.7,83.9,3.65,1.75,-6.88,5.04,6.2,0.241,0.881,0,-1.903,50,5.825,7.947,-132.496,-8.512,-12.231,28.208,-23.135
Felix Hernandez,433587,Josh Hamilton,285078,L,18944,1441902,5460122,Ball,Josh Hamilton walks.  ,SI,B,92.7,85.4,3.65,1.75,-6.16,6.35,5.2,-2.334,3.034,0,-2.087,50,5.916,1.482,-135.85,-3.95,-11.507,30.011,-20.245
Felix Hernandez,433587,Josh Hamilton,285078,L,18944,1441902,5460124,Ball,Josh Hamilton walks.  ,SI,B,92,84.2,3.65,1.75,-9.28,4.04,6.8,-2.909,2.949,0,-1.971,50,6.054,0.702,-134.882,-3.565,-16.904,32.3,-24.743
Felix Hernandez,433587,Josh Hamilton,285078,L,18944,1441902,5460121,Ball,Josh Hamilton walks.  ,SI,B,90.7,83.9,3.65,1.75,-7.21,3.56,6.9,0.528,-0.471,0,-1.951,50,5.703,8.91,-132.282,-11.167,-12.743,28.813,-25.802
Felix Hernandez,433587,Josh Hamilton,285078,L,18944,1441902,5460123,Ball In Dirt,Josh Hamilton walks.  ,SI,B,90.2,83,3.65,1.75,-8.6,3.68,7.1,0.098,0.341,0,-1.787,50,5.802,7.783,-131.776,-9.215,-15.016,29.892,-25.675
Felix Hernandez,433587,Albert Pujols,405395,R,18944,1441910,5460158,Ball,Albert Pujols strikes out swinging.  ,CU,B,81.3,74.1,3.42,1.7,4.17,-6.07,11.9,0.921,2.944,0,-1.956,50,6.25,5.44,-119.044,1.03,5.841,27.824,-40.603
Felix Hernandez,433587,Albert Pujols,405395,R,18944,1441910,5460159,Swinging Strike,Albert Pujols strikes out swinging.  ,FF,S,89.5,83.1,3.42,1.7,-5.66,1.16,7.5,-0.101,1.406,0,-1.765,50,5.902,6.216,-131.046,-5.839,-9.873,26.977,-30.079
Felix Hernandez,433587,Albert Pujols,405395,R,18944,1441910,5460160,Called Strike,Albert Pujols strikes out swinging.  ,SL,S,84.5,77.9,3.42,1.7,0.89,-3.83,10.2,0.448,1.756,0,-2.015,50,6.035,5.712,-123.768,-2.603,1.365,27.149,-37.975
Felix Hernandez,433587,Albert Pujols,405395,R,18944,1441910,5460161,Ball,Albert Pujols strikes out swinging.  ,SI,B,90.4,83.3,3.42,1.7,-7.01,-0.33,8.3,-0.973,1.016,0,-1.789,50,5.925,4.492,-132.279,-6.505,-12.333,30.118,-32.678
Felix Hernandez,433587,Albert Pujols,405395,R,18944,1441910,5460162,Swinging Strike,Albert Pujols strikes out swinging.  ,FF,S,90,83.1,3.42,1.7,-5.12,1.34,7.4,-0.467,1.354,0,-1.924,50,5.946,5.507,-131.748,-6.192,-8.956,29.147,-29.747
Felix Hernandez,433587,Erick Aybar,430947,L,18944,1441918,5460185,Swinging Strike,Erick Aybar called out on strikes.  ,SI,S,88.4,80.5,3.06,1.53,-7.61,1.09,8.2,0.281,1.405,0,-1.664,50,5.883,7.421,-129.28,-5.361,-12.634,31.604,-30.289
Felix Hernandez,433587,Erick Aybar,430947,L,18944,1441918,5460186,Called Strike,Erick Aybar called out on strikes.  ,CU,S,79.8,71.8,3.06,1.53,5.64,-10.04,14,0.196,3.184,0,-1.824,50,6.313,2.934,-116.916,2.906,7.503,30,-45.458
Felix Hernandez,433587,Erick Aybar,430947,L,18944,1441918,5460187,Called Strike,Erick Aybar called out on strikes.  ,SI,S,88.4,80.9,3.06,1.53,-8.95,4.73,6.9,-0.095,2.685,0,-1.656,50,6.016,6.926,-129.349,-3.733,-15.038,29.024,-24.154
Felix Hernandez,433587,Albert Pujols,405395,R,18944,1441843,5459900,Called Strike,Albert Pujols pops out to catcher Mike Zunino in foul territory.  ,SI,S,92.6,84.6,3.42,1.7,-8.45,4.9,6.1,0.658,2.241,0,-1.793,50,5.875,9.441,-135.398,-5.335,-15.527,32.419,-23.095
Felix Hernandez,433587,Albert Pujols,405395,R,18944,1441843,5459901,Ball,Albert Pujols pops out to catcher Mike Zunino in foul territory.  ,SI,B,92.8,85.2,3.42,1.7,-8.63,7.29,5.5,-1.155,1.57,0,-2.121,50,5.882,5.577,-135.689,-8.055,-16,31.116,-18.57
Felix Hernandez,433587,Albert Pujols,405395,R,18944,1441843,5459902,Ball,Albert Pujols pops out to catcher Mike Zunino in foul territory.  ,SI,B,90.3,82.8,3.42,1.7,-9.33,4.42,7.1,0.093,-0.258,0,-2.018,50,5.803,8.591,-131.691,-10.958,-16.197,31.092,-24.429
